Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Team
1013,Sasa Kalajdzic,at AUT,FW,26-262,11,1,166.0,1.8,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.1,1.1,1.0,2.0,1.0,5.0,9.0,1.08,0.0,1.08,1.08,1.08,0.57,0.52,1.09,0.57,1.09,Wolves
1014,Tawanda Chirewa,eng ENG,"MF,FW",20-166,2,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.52,0.21,0.73,0.52,0.73,Wolves
1015,Jonny Castro,es ESP,MF,30-022,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolves
1016,Ty Barnett,eng ENG,FW,18-250,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolves
1017,Leon Chiwome,eng ENG,FW,18-075,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolves
1018,Enso Gonzalez,py PAR,MF,19-065,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolves
1019,Harvey Griffiths,eng ENG,MF,20-185,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolves
1020,Owen Hesketh,wls WAL,MF,21-167,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolves
1021,Joseph Hodge,ie IRL,MF,21-193,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolves
1022,Justin Hubner,id IDN,DF,20-193,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolves
1023,Tom King,wls WAL,GK,29-016,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolves
1024,Noha Lemina,fr FRA,FW,18-282,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolves
1025,Yerson Mosquera,co COL,DF,22-328,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolves
1026,Wesley Okoduwa,eng ENG,FW,15-318,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolves
1027,Matthew Whittingham,eng ENG,MF,19-156,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolves
1028,Fabian Schär,ch SUI,DF,32-096,28,28,2443.0,27.1,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,2.4,2.4,0.6,3.0,18.0,102.0,17.0,0.11,0.04,0.15,0.11,0.15,0.09,0.02,0.11,0.09,0.11,Newcastle Utd
1029,Bruno Guimarães,br BRA,MF,26-130,27,27,2364.0,26.3,3.0,5.0,8.0,3.0,0.0,0.0,9.0,0.0,2.6,2.6,4.2,6.8,41.0,196.0,52.0,0.11,0.19,0.3,0.11,0.3,0.1,0.16,0.26,0.1,0.26,Newcastle Utd
1030,Anthony Gordon,eng ENG,FW,23-030,27,26,2187.0,24.3,9.0,5.0,14.0,8.0,1.0,1.0,8.0,0.0,7.8,7.0,4.7,11.6,94.0,76.0,166.0,0.37,0.21,0.58,0.33,0.53,0.32,0.19,0.51,0.29,0.48,Newcastle Utd
1031,Kieran Trippier,eng ENG,DF,33-188,25,25,2163.0,24.0,1.0,10.0,11.0,1.0,0.0,0.0,5.0,0.0,0.7,0.7,7.4,8.1,34.0,151.0,123.0,0.04,0.42,0.46,0.04,0.46,0.03,0.31,0.34,0.03,0.34,Newcastle Utd
1032,Miguel Almirón,py PAR,FW,30-044,28,23,1838.0,20.4,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,4.5,4.5,2.0,6.5,77.0,75.0,156.0,0.15,0.05,0.2,0.15,0.2,0.22,0.1,0.32,0.22,0.32,Newcastle Utd
1033,Dan Burn,eng ENG,DF,31-321,23,22,1826.0,20.3,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,2.4,2.4,1.0,3.4,13.0,60.0,25.0,0.1,0.1,0.2,0.1,0.2,0.12,0.05,0.17,0.12,0.17,Newcastle Utd
1034,Sean Longstaff,eng ENG,MF,26-147,25,20,1899.0,21.1,4.0,2.0,6.0,4.0,0.0,0.0,5.0,0.0,3.6,3.6,1.7,5.2,14.0,99.0,82.0,0.19,0.09,0.28,0.19,0.28,0.17,0.08,0.25,0.17,0.25,Newcastle Utd
1035,Alexander Isak,se SWE,FW,24-186,20,17,1402.0,15.6,12.0,0.0,12.0,10.0,2.0,2.0,0.0,0.0,10.9,9.4,1.1,10.4,39.0,38.0,76.0,0.77,0.0,0.77,0.64,0.64,0.7,0.07,0.77,0.6,0.67,Newcastle Utd
1036,Sven Botman,nl NED,DF,24-073,17,15,1377.0,15.3,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.6,0.6,1.0,1.6,0.0,35.0,5.0,0.13,0.13,0.26,0.13,0.26,0.04,0.07,0.11,0.04,0.11,Newcastle Utd
1037,Nick Pope,eng ENG,GK,31-341,14,14,1255.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle Utd
1038,Lewis Miley,eng ENG,MF,17-329,17,14,1202.0,13.4,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,1.7,2.9,14.0,53.0,54.0,0.07,0.22,0.3,0.07,0.3,0.09,0.13,0.22,0.09,0.22,Newcastle Utd
1039,Joelinton,br BRA,"MF,FW",27-224,16,14,1133.0,12.6,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.3,2.3,2.0,4.3,21.0,47.0,58.0,0.16,0.08,0.24,0.16,0.24,0.18,0.16,0.34,0.18,0.34,Newcastle Utd
1040,Martin Dúbravka,sk SVK,GK,35-070,14,13,1175.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Newcastle Utd
1041,Jamaal Lascelles,eng ENG,DF,30-135,15,12,1064.0,11.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,0.1,0.8,8.0,31.0,3.0,0.08,0.0,0.08,0.08,0.08,0.06,0.01,0.07,0.06,0.07,Newcastle Utd
1042,Valentino Livramento,eng ENG,DF,21-134,21,8,975.0,10.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.4,0.7,32.0,34.0,53.0,0.09,0.0,0.09,0.09,0.09,0.02,0.04,0.06,0.02,0.06,Newcastle Utd
1043,Callum Wilson,eng ENG,FW,32-027,16,8,862.0,9.6,7.0,1.0,8.0,5.0,2.0,2.0,2.0,0.0,7.2,5.7,0.5,6.2,9.0,6.0,63.0,0.73,0.1,0.84,0.52,0.63,0.76,0.05,0.81,0.59,0.64,Newcastle Utd
1044,Sandro Tonali,it ITA,MF,23-322,8,5,438.0,4.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,0.6,1.3,11.0,19.0,21.0,0.21,0.0,0.21,0.21,0.21,0.13,0.13,0.26,0.13,0.26,Newcastle Utd
1045,Jacob Murphy,eng ENG,FW,29-030,11,4,476.0,5.3,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.9,0.9,2.1,3.1,18.0,23.0,39.0,0.38,0.57,0.95,0.38,0.95,0.18,0.4,0.58,0.18,0.58,Newcastle Utd
1046,Elliot Anderson,sct SCO,"MF,FW",21-140,11,4,434.0,4.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.9,1.6,17.0,28.0,36.0,0.0,0.21,0.21,0.0,0.21,0.15,0.18,0.33,0.15,0.33,Newcastle Utd
1047,Harvey Barnes,eng ENG,FW,26-107,11,3,360.0,4.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,0.9,2.0,26.0,13.0,38.0,0.5,0.25,0.75,0.5,0.75,0.29,0.22,0.51,0.29,0.51,Newcastle Utd
1048,Joe Willock,eng ENG,MF,24-218,6,3,304.0,3.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.1,11.0,12.0,17.0,0.3,0.0,0.3,0.3,0.3,0.19,0.13,0.32,0.19,0.32,Newcastle Utd
1049,Lewis Hall,eng ENG,DF,19-199,8,1,111.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Newcastle Utd
1050,Loris Karius,de GER,GK,30-277,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle Utd
1051,Matt Targett,eng ENG,DF,28-189,3,1,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Newcastle Utd
1052,Matt Ritchie,sct SCO,FW,34-197,8,0,109.0,1.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.0,0.8,2.0,7.0,9.0,0.83,0.0,0.83,0.83,0.83,0.67,0.0,0.67,0.67,0.67,Newcastle Utd
1053,Emil Krafth,se SWE,DF,29-236,7,0,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,3.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.05,0.42,0.47,0.05,0.47,Newcastle Utd
1054,Ben Parkinson,eng ENG,FW,19-015,1,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle Utd
1055,Joe White,eng ENG,MF,21-176,2,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle Utd
1056,Paul Dummett,wls WAL,DF,32-181,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle Utd
1057,Alex Murphy,ie IRL,"FW,DF",19-274,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle Utd
1058,Amadou Diallo,eng ENG,MF,21-039,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle Utd
1059,Michael Ndiweni,eng ENG,FW,20-114,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle Utd
1060,Mark Gillespie,eng ENG,GK,31-364,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Newcastle Utd
1061,Travis Hearnes,eng ENG,MF,18-142,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Newcastle Utd
1062,Javier Manquillo,es ESP,DF,29-325,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Newcastle Utd
1063,Conor Gallagher,eng ENG,MF,24-048,26,26,2182.0,24.2,2.0,5.0,7.0,2.0,0.0,0.0,7.0,1.0,2.4,2.4,4.2,6.5,41.0,134.0,87.0,0.08,0.21,0.29,0.08,0.29,0.1,0.17,0.27,0.1,0.27,Chelsea
1064,Axel Disasi,fr FRA,DF,26-014,25,25,2226.0,24.7,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.4,1.4,0.2,1.6,24.0,89.0,19.0,0.08,0.0,0.08,0.08,0.08,0.05,0.01,0.06,0.05,0.06,Chelsea
1065,Thiago Silva,br BRA,DF,39-185,23,22,1983.0,22.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.4,0.4,0.6,1.0,2.0,80.0,2.0,0.09,0.0,0.09,0.09,0.09,0.02,0.03,0.05,0.02,0.05,Chelsea
1066,Moisés Caicedo,ec ECU,MF,22-144,24,22,1941.0,21.6,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.2,0.2,1.5,1.7,9.0,106.0,16.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.08,0.01,0.08,Chelsea
1067,Enzo Fernández,ar ARG,MF,23-068,24,22,1873.0,20.8,3.0,1.0,4.0,2.0,1.0,2.0,6.0,0.0,5.7,4.1,2.9,7.1,46.0,168.0,52.0,0.14,0.05,0.19,0.1,0.14,0.27,0.14,0.41,0.2,0.34,Chelsea
1068,Raheem Sterling,eng ENG,"FW,MF",29-108,25,21,1813.0,20.1,6.0,3.0,9.0,6.0,0.0,0.0,6.0,0.0,5.5,5.5,3.8,9.3,109.0,69.0,226.0,0.3,0.15,0.45,0.3,0.45,0.28,0.19,0.46,0.28,0.46,Chelsea
1069,Nicolas Jackson,sn SEN,FW,22-279,24,20,1815.0,20.2,9.0,3.0,12.0,9.0,0.0,0.0,9.0,0.0,12.6,12.6,2.7,15.4,36.0,42.0,114.0,0.45,0.15,0.6,0.45,0.6,0.63,0.14,0.76,0.63,0.76,Chelsea
1070,Levi Colwill,eng ENG,DF,21-028,23,20,1797.0,20.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.3,1.3,1.2,2.5,23.0,73.0,27.0,0.05,0.05,0.1,0.05,0.1,0.06,0.06,0.12,0.06,0.12,Chelsea
1071,Cole Palmer,eng ENG,"FW,MF",21-324,23,19,1740.0,19.3,11.0,8.0,19.0,6.0,5.0,5.0,7.0,0.0,8.9,4.9,6.6,11.5,64.0,133.0,122.0,0.57,0.41,0.98,0.31,0.72,0.46,0.34,0.8,0.25,0.6,Chelsea
1072,Robert Sánchez,es ESP,GK,26-128,16,16,1433.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
1073,Malo Gusto,fr FRA,DF,20-311,20,15,1368.0,15.2,0.0,5.0,5.0,0.0,0.0,0.0,5.0,1.0,0.4,0.4,3.2,3.6,57.0,66.0,102.0,0.0,0.33,0.33,0.0,0.33,0.03,0.21,0.23,0.03,0.23,Chelsea
1074,Đorđe Petrović,rs SRB,GK,24-169,12,11,997.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
1075,Mykhailo Mudryk,ua UKR,"FW,MF",23-080,21,9,911.0,10.1,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,2.8,2.8,1.8,4.6,58.0,27.0,92.0,0.4,0.2,0.59,0.4,0.59,0.28,0.18,0.46,0.28,0.46,Chelsea
1076,Marc Cucurella,es ESP,DF,25-247,10,9,793.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,0.2,1.0,16.0,26.0,31.0,0.0,0.0,0.0,0.0,0.0,0.09,0.02,0.11,0.09,0.11,Chelsea
1077,Ben Chilwell,eng ENG,DF,27-095,12,9,745.0,8.3,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.2,1.2,2.2,3.4,22.0,24.0,58.0,0.0,0.12,0.12,0.0,0.12,0.14,0.26,0.41,0.14,0.41,Chelsea
1078,Benoît Badiashile,fr FRA,DF,22-365,8,6,560.0,6.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.5,0.7,1.0,25.0,1.0,0.0,0.16,0.16,0.0,0.16,0.02,0.09,0.11,0.02,0.11,Chelsea
1079,Armando Broja,al ALB,FW,22-197,13,6,454.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.4,2.4,0.2,2.5,11.0,6.0,37.0,0.2,0.0,0.2,0.2,0.2,0.47,0.03,0.5,0.47,0.5,Chelsea
1080,Reece James,eng ENG,DF,24-108,8,5,388.0,4.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.3,0.3,1.5,1.8,19.0,20.0,33.0,0.0,0.23,0.23,0.0,0.23,0.07,0.34,0.41,0.07,0.41,Chelsea
1081,Noni Madueke,eng ENG,FW,22-015,12,4,349.0,3.9,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.2,0.4,0.6,1.0,29.0,16.0,54.0,0.52,0.0,0.52,0.26,0.26,0.3,0.15,0.46,0.1,0.25,Chelsea
1082,Lesley Ugochukwu,fr FRA,MF,19-365,10,3,273.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Chelsea
1083,Christopher Nkunku,fr FRA,"FW,MF",26-132,7,2,319.0,3.5,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.7,1.7,0.1,1.9,7.0,9.0,28.0,0.56,0.0,0.56,0.56,0.56,0.49,0.04,0.53,0.49,0.53,Chelsea
1084,Trevoh Chalobah,eng ENG,DF,24-264,3,2,200.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Chelsea
1085,Carney Chukwuemeka,eng ENG,"MF,FW",20-157,6,2,171.0,1.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3,0.4,4.0,8.0,15.0,0.53,0.53,1.05,0.53,1.05,0.07,0.16,0.22,0.07,0.22,Chelsea
1086,Ian Maatsen,nl NED,"FW,MF",22-015,12,1,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.1,0.9,9.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.35,0.04,0.39,0.35,0.39,Chelsea
1087,Roméo Lavia,be BEL,MF,20-079,1,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
1088,Cesare Casadei,it ITA,"MF,FW",21-075,3,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.32,Chelsea
1089,Alfie Gilchrist,eng ENG,"DF,FW",20-118,5,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
1090,Deivid Washington,br BRA,DF,18-294,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.19,0.0,4.19,4.19,4.19,Chelsea
1091,Mason Burstow,eng ENG,FW,20-234,2,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
1092,Alex Matos,eng ENG,MF,19-174,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
1093,Marcus Bettinelli,eng ENG,GK,31-306,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,Chelsea
1094,Joshua Acheampong,eng ENG,DF,17-325,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chelsea
1095,Eddie Beach,wls WAL,GK,20-168,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chelsea
1096,Lucas Bergström,fi FIN,GK,21-202,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chelsea
1097,Joshua Brooking,eng ENG,DF,21-206,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chelsea
1098,Leo Castledine,eng ENG,MF,18-218,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chelsea
1099,Ollie Harrison,eng ENG,MF,16-231,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chelsea
1100,Bashir Humphreys,eng ENG,DF,21-010,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chelsea
1101,Diego Moreira,pt POR,MF,19-232,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chelsea
1102,Ishé Samuels-Smith,eng ENG,DF,17-294,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chelsea
1103,Andrey Santos,br BRA,MF,19-327,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chelsea
1104,Ronnie Stutter,eng ENG,FW,19-079,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chelsea
1105,Jimi Tauriainen,eng ENG,FW,20-017,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chelsea
1106,Bernd Leno,de GER,GK,32-021,29,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
1107,Antonee Robinson,us USA,DF,26-230,28,28,2468.0,27.4,0.0,6.0,6.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,3.6,4.1,75.0,94.0,141.0,0.0,0.22,0.22,0.0,0.22,0.02,0.13,0.15,0.02,0.15,Fulham
1108,Andreas Pereira,br BRA,MF,28-084,29,26,2001.0,22.2,1.0,5.0,6.0,1.0,0.0,0.0,5.0,0.0,2.3,2.3,5.2,7.5,42.0,94.0,94.0,0.04,0.22,0.27,0.04,0.27,0.11,0.23,0.34,0.11,0.34,Fulham
1109,Timothy Castagne,be BEL,DF,28-111,26,22,2009.0,22.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.4,1.4,1.2,2.6,40.0,63.0,94.0,0.0,0.09,0.09,0.0,0.09,0.06,0.05,0.12,0.06,0.12,Fulham
1110,João Palhinha,pt POR,MF,28-260,24,22,1960.0,21.8,3.0,1.0,4.0,3.0,0.0,0.0,12.0,0.0,2.2,2.2,0.4,2.6,7.0,63.0,9.0,0.14,0.05,0.18,0.14,0.18,0.1,0.02,0.12,0.1,0.12,Fulham
1111,Willian,br BRA,FW,35-229,24,19,1621.0,18.0,4.0,2.0,6.0,2.0,2.0,2.0,1.0,0.0,4.7,3.1,3.0,6.1,72.0,124.0,140.0,0.22,0.11,0.33,0.11,0.22,0.26,0.17,0.43,0.17,0.34,Fulham
1112,Raúl Jiménez,mx MEX,FW,32-325,20,17,1267.0,14.1,5.0,0.0,5.0,5.0,0.0,0.0,3.0,1.0,4.5,4.5,1.4,5.9,10.0,17.0,73.0,0.36,0.0,0.36,0.36,0.36,0.32,0.1,0.42,0.32,0.42,Fulham
1113,Calvin Bassey,ng NGA,DF,24-085,20,16,1493.0,16.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.3,0.3,0.0,0.3,7.0,36.0,4.0,0.06,0.0,0.06,0.06,0.06,0.02,0.0,0.02,0.02,0.02,Fulham
1114,Alex Iwobi,ng NGA,"FW,MF",27-327,21,16,1481.0,16.5,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,4.6,4.6,2.9,7.5,68.0,106.0,124.0,0.3,0.06,0.36,0.3,0.36,0.28,0.17,0.45,0.28,0.45,Fulham
1115,Tim Ream,us USA,DF,36-172,17,16,1413.0,15.7,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,11.0,65.0,3.0,0.06,0.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,Fulham
1116,Harry Wilson,wls WAL,FW,27-003,27,14,1411.0,15.7,3.0,4.0,7.0,3.0,0.0,0.0,6.0,0.0,2.9,2.9,2.9,5.8,31.0,51.0,112.0,0.19,0.26,0.45,0.19,0.45,0.19,0.19,0.37,0.19,0.37,Fulham
1117,Bobby Reid,jm JAM,FW,31-052,25,14,1170.0,13.0,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,3.8,3.8,1.7,5.5,30.0,37.0,78.0,0.38,0.15,0.54,0.38,0.54,0.29,0.13,0.41,0.29,0.41,Fulham
1118,Tom Cairney,sct SCO,MF,33-065,26,13,1246.0,13.8,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,1.9,2.7,30.0,111.0,54.0,0.07,0.22,0.29,0.07,0.29,0.05,0.14,0.19,0.05,0.19,Fulham
1119,Tosin Adarabioyo,eng ENG,DF,26-183,15,13,1173.0,13.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.1,0.6,5.0,39.0,3.0,0.08,0.0,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05,Fulham
1120,Issa Diop,fr FRA,DF,27-076,15,13,1155.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,11.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Fulham
1121,Harrison Reed,eng ENG,MF,29-058,23,13,1146.0,12.7,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.9,1.1,9.0,45.0,34.0,0.0,0.08,0.08,0.0,0.08,0.02,0.07,0.09,0.02,0.09,Fulham
1122,Rodrigo Muniz,br BRA,FW,22-326,17,10,936.0,10.4,7.0,1.0,8.0,7.0,0.0,0.0,1.0,0.0,5.2,5.2,1.6,6.8,3.0,10.0,41.0,0.67,0.1,0.77,0.67,0.77,0.5,0.16,0.66,0.5,0.66,Fulham
1123,Saša Lukić,rs SRB,MF,27-225,17,8,725.0,8.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.3,1.3,0.3,1.6,6.0,27.0,14.0,0.12,0.0,0.12,0.12,0.12,0.16,0.04,0.2,0.16,0.2,Fulham
